case_id,split,risk_level,audit_result,primary_anomaly_type,transition,issues,m2_issues,m3_issues
MV_MAIN_006870,test_robust,high,reject_recommendation,merchant_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_038966,test_robust,low,pass,none,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_025271,test_robust,medium,manual_review,amount_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_016626,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_020131,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_031910,test_robust,medium,manual_review,unreadable_image,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_025428,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_013422,test_robust,high,reject_recommendation,order_id_mismatch,m2_correct_to_m3_wrong,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error
MV_MAIN_002949,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_002239,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_001402,test_robust,high,reject_recommendation,applicant_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_024468,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_021910,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_019148,test_robust,high,manual_review,unreadable_image,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_015169,test_robust,high,reject_recommendation,order_id_mismatch,m2_wrong_to_m3_correct,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,
MV_MAIN_031715,test_robust,low,pass,none,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_003209,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_031041,test_robust,high,reject_recommendation,applicant_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_004970,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_036592,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_008101,test_robust,high,reject_recommendation,order_id_mismatch,m2_wrong_to_m3_correct,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,
MV_MAIN_034649,test_robust,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_011551,test_robust,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_009799,test_robust,high,missing_info,missing_document,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_010726,test_robust,high,reject_recommendation,order_id_mismatch,m2_wrong_to_m3_correct,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,
MV_MAIN_006399,test_robust,high,reject_recommendation,merchant_mismatch,m2_wrong_to_m3_correct,hallucination|unsupported_evidence|bbox_strict_error,hallucination|unsupported_evidence|bbox_strict_error,
MV_MAIN_005197,test_robust,low,pass,none,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_040966,test_unseen_template,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_013151,test_unseen_template,high,reject_recommendation,merchant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_016044,test_unseen_template,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_003429,test_unseen_template,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_018718,test_unseen_template,high,missing_info,missing_document,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_003489,test_unseen_template,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_025600,test_unseen_template,high,missing_info,missing_document,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_013531,test_unseen_template,low,pass,none,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_011894,test_unseen_template,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_040926,test_unseen_template,low,pass,none,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_022645,test_unseen_template,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_017990,test_unseen_template,high,reject_recommendation,over_reimbursement,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_028924,test_unseen_template,high,reject_recommendation,order_id_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_007331,test_unseen_template,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_031505,test_unseen_template,high,reject_recommendation,amount_mismatch,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_030800,test_unseen_template,high,reject_recommendation,order_id_mismatch,m2_correct_to_m3_wrong,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error
MV_MAIN_015166,test_unseen_template,medium,manual_review,amount_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_024692,test_unseen_template,high,reject_recommendation,applicant_mismatch,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_006199,test_unseen_template,low,pass,none,m2_correct_to_m3_wrong,bbox_strict_error,,bbox_strict_error
MV_MAIN_028769,test_unseen_template,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch,,audit_mismatch
MV_MAIN_012295,test_unseen_template,high,reject_recommendation,order_id_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_013366,test_unseen_template,high,reject_recommendation,merchant_mismatch,m2_wrong_to_m3_correct,bbox_strict_error,bbox_strict_error,
MV_MAIN_027513,test_unseen_template,high,reject_recommendation,merchant_mismatch,m2_correct_to_m3_wrong,hallucination|unsupported_evidence|bbox_strict_error,,hallucination|unsupported_evidence|bbox_strict_error
MV_MAIN_020671,test_unseen_template,high,reject_recommendation,over_reimbursement,m2_correct_to_m3_wrong,audit_mismatch|bbox_strict_error,,audit_mismatch|bbox_strict_error
MV_MAIN_032182,test_unseen_template,high,reject_recommendation,order_id_mismatch,m2_wrong_to_m3_correct,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,high_risk_miss|audit_mismatch|unsupported_evidence|bbox_strict_error,
